,name,floor,height,year,area
201,芝浦アイランド ケープタワー,48,161.0,2006.0,東京都港区
202,大阪福島タワー,45,160.46,2011.0,大阪府大阪市
203,中之島ダイビル,35,160.0,2009.0,大阪府大阪市
204,THE KOSUGI TOWER(ザ・コスギタワー),49,160.0,2008.0,神奈川県川崎市
205,ザ・シーン城北 アストロタワー,45,160.0,1996.0,愛知県名古屋市
206,(仮称)栄一丁目御園座共同ビル計画,40,160.0,2017.0,愛知県名古屋市
207,I-linkタウンいちかわ ザ・タワーズウエスト プレミアレジデンス,45,160.0,2009.0,千葉県市川市
208,住友不動産新宿ガーデンタワー,37,160.0,2016.0,東京都新宿区
209,アパートメンツタワー勝どき,45,159.85,2011.0,東京都中央区
210,コンシェリア西新宿 TOWER’S WEST,44,159.8,2008.0,東京都新宿区
211,トルナーレ日本橋浜町,47,159.67,2005.0,東京都中央区
212,六本木ヒルズレジデンスC棟,43,159.18,2003.0,東京都港区
213,ザ・ファインタワー梅田豊崎,45,159.0,2019.0,大阪府大阪市
214,ブリリアタワー東京,45,159.0,2006.0,東京都墨田区
215,プラウドタワー武蔵小杉,45,158.95,2015.0,神奈川県川崎市
216,パークタワー東雲,43,158.9,2014.0,東京都江東区
217,日本生命丸の内ビル,28,158.85,2004.0,東京都千代田区
218,プルデンシャルタワー,38,158.35,2002.0,東京都千代田区
219,Hareza Tower(ハレザタワー),33,158.28,2020.0,東京都豊島区
220,東京スカイツリーイーストタワー,31,158.0,2012.0,東京都墨田区
221,城山トラストタワー,37,158.0,1991.0,東京都港区
222,クラウンプラザ神戸,37,158.0,1988.0,兵庫県神戸市
223,Akasaka K TOWER(赤坂Kタワー),30,157.93,2012.0,東京都港区
224,ワールドビジネスガーデン・マリブイースト,35,157.5,1991.0,千葉県千葉市
225,サザンスカイタワー八王子(サザンスカイタワーレジデンス),41,157.5,2010.0,東京都八王子市
226,ワールドビジネスガーデン・マリブウエスト,35,157.5,1991.0,千葉県千葉市
227,愛宕グリーンヒルズ フォレストタワー,42,157.26,2001.0,東京都港区
228,パークコート赤坂 ザ タワー,43,157.25,2009.0,東京都港区
229,ツイン21 MIDタワー,38,157.0,1986.0,大阪府大阪市
230,ツイン21 OBPパナソニックタワー,38,157.0,1986.0,大阪府大阪市
231,OBPキャッスルタワービル,38,157.0,1988.0,大阪府大阪市
232,クリスタルタワー,37,156.7,1990.0,大阪府大阪市
233,霞が関コモンゲート 東館,33,156.67,2007.0,東京都千代田区
234,横浜ダイヤビルディング,31,156.5,2009.0,神奈川県横浜市
235,六本木ヒルズレジデンスB棟,43,156.14,2003.0,東京都港区
236,白金ザ・スカイ,45,156.1,2022.0,東京都港区
237,NEC 玉川ルネッサンスシティ ノースタワー,37,156.0,2005.0,神奈川県川崎市
238,霞が関ビルディング,36,156.0,1968.0,東京都千代田区
239,クロスエアタワー,42,155.95,2012.0,東京都目黒区
240,明治安田生命大阪梅田ビル,30,155.8,2000.0,大阪府大阪市
241,ザ・なんばタワー レジデンス・イン・なんばパークス,46,155.7,2007.0,大阪府大阪市
242,シティタワー大阪天満 ザ・リバー&パークス,45,155.5,2010.0,大阪府大阪市
243,ジオタワー天六,44,155.5,2013.0,大阪府大阪市
244,横浜市庁舎,32,155.4,2020.0,神奈川県横浜市
245,品川シーズンテラス,32,155.27,2015.0,東京都港区
246,プラザタワー勝どき,43,155.25,2004.0,東京都中央区
247,日経ビル,31,155.0,2009.0,東京都千代田区
248,東京ドームホテル,43,155.0,2000.0,東京都文京区
249,晴海アイランド トリトンスクエア オフィスタワーZ棟,33,155.0,2001.0,東京都中央区
250,THE TOYOSU TOWER,43,155.0,2009.0,東京都江東区
251,SKYZ TOWER & GARDEN(スカイズタワー&ガーデン),44,154.9,2014.0,東京都江東区
252,シェラトン・グランデ・オーシャンリゾート,43,154.0,1994.0,宮崎県宮崎市
253,グランフロント大阪 北館タワーC(インターコンチネンタルホテル大阪),33,154.0,2013.0,大阪府大阪市
